state,forecast_month,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage
Texas,2024-07,17,0,17,0,0.0,0.010319117647058722,0.0011958197061888293,-0.009123297940869893
Texas,2024-08,1,0,1,0,0.0,0.0225,0.0107342902739641,-0.011765709726035899
Texas,2024-09,12,3,9,0,0.25,0.017777083333333322,0.015203009820232809,-0.002574073513100513
Virginia,2024-07,11,7,4,0,0.6363636363636364,0.12137727272727274,0.11056290524991243,-0.01081436747736031
Wisconsin,2024-03,24,0,24,0,0.0,0.2458583333333333,0.07551410143957173,-0.17034423189376158
Wisconsin,2024-04,30,2,28,0,0.06666666666666667,0.2769449999999999,0.18083968556615945,-0.09610531443384043
Wisconsin,2024-05,31,0,31,0,0.0,0.3073395161290322,0.1319721473705792,-0.17536736875845302
Wisconsin,2024-06,30,6,24,0,0.2,0.28335166666666656,0.21551749130173226,-0.0678341753649343
Wisconsin,2024-07,21,6,15,0,0.2857142857142857,0.18036071428571424,0.14796296793805006,-0.03239774634766418
Wisconsin,2024-08,31,31,0,0,1.0,0.30286612903225796,0.5205322868575116,0.21766615782525367
Wisconsin,2024-09,12,12,0,0,1.0,0.3230749999999999,0.5396334608535491,0.21655846085354924
