event_id,event_date,title,event_type,source_url,market_id,event_window_label,baseline_window_label,anomaly_type,tier,metric_name,event_window_days,observed_day_count,baseline_observations,max_observed_value,max_z_score,max_percentile_rank,anomaly_day_count,source_artifact,limitation,claim_scope
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_3_top_10pct,active_wallets,5,5,23,5.0,2.4305037014601525,0.9565217391304348,1,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_4_observed_baseline,active_wallets,5,5,23,13.0,2.322717901550789,1.0,1,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,market_move_anomaly,market,absolute_price_change,5,5,23,0.08000000000000007,6.276452242466735,1.0,1,data/thesis.db:polymarket_prices,daily market price changes only,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,top_tier_concentration_anomaly,all_tiers,tier_1_total_amount_share,5,5,23,0.7744259995534287,0.40162071682211015,0.6086956521739131,0,data/results/h3_tiered_wallet_activity_daily.csv,"concentration of observed tier activity, not wallet performance",descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_1_top_1pct,log1p_total_amount_usd,5,5,23,14.224598229202316,1.9127125776261684,1.0,1,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_2_top_5pct,log1p_total_amount_usd,5,5,23,11.301895209306444,0.6911215562053916,0.8260869565217391,0,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_3_top_10pct,log1p_total_amount_usd,5,5,23,11.81182321340312,0.9405133492341669,0.9130434782608695,0,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_07_13_trump_shooting,2024-07-13,Trump injured in Butler rally shooting,major_news,https://www.npr.org/2024/07/19/nx-s1-5041734/trump-shooting-assassination-crooks-bulter-secret-service,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,wallet_tier_amount_anomaly,tier_4_observed_baseline,log1p_total_amount_usd,5,5,23,12.551530597700605,1.650357300234215,1.0,1,data/results/h3_tiered_wallet_activity_daily.csv,BUY-only observed wallet activity extract,descriptive_historical_anomaly_diagnostic
evt_2024_07_15_vance_vp_pick,2024-07-15,Trump selects JD Vance as running mate,candidate_change,https://www.axios.com/2024/07/15/trump-jd-vance-vice-president,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_1_top_1pct,active_wallets,5,5,23,6.0,3.139942282376683,1.0,1,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_07_15_vance_vp_pick,2024-07-15,Trump selects JD Vance as running mate,candidate_change,https://www.axios.com/2024/07/15/trump-jd-vance-vice-president,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_2_top_5pct,active_wallets,5,5,23,4.0,1.3315591032282688,0.9130434782608695,0,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_07_15_vance_vp_pick,2024-07-15,Trump selects JD Vance as running mate,candidate_change,https://www.axios.com/2024/07/15/trump-jd-vance-vice-president,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_3_top_10pct,active_wallets,5,5,23,6.0,3.0805221332460073,0.9565217391304348,2,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
evt_2024_07_15_vance_vp_pick,2024-07-15,Trump selects JD Vance as running mate,candidate_change,https://www.axios.com/2024/07/15/trump-jd-vance-vice-president,,event_minus_1d_to_plus_3d,baseline_minus_30d_to_minus_8d,active_wallet_anomaly,tier_4_observed_baseline,active_wallets,5,5,23,17.0,3.579193143235216,1.0,2,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier count only; no wallet-address output,descriptive_historical_anomaly_diagnostic
