date,tier,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
2024-01-29,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-29,tier_4_observed_baseline,1,1,11250.0,11250.0,0.0,11250.0
2024-01-30,tier_1_top_1pct,7,1,133987.606593,133987.606593,0.0,133987.606593
2024-01-30,tier_2_top_5pct,1,1,17800.0,17800.0,0.0,17800.0
2024-01-30,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-01-30,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-01-31,tier_1_top_1pct,17,2,548426.207778,548426.207778,0.0,548426.207778
2024-01-31,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-01-31,tier_3_top_10pct,1,1,73789.94619,73789.94619,0.0,73789.94619
2024-01-31,tier_4_observed_baseline,5,3,118177.02141999999,118177.02141999999,0.0,118177.02141999999
2024-02-01,tier_1_top_1pct,6,1,220248.998778,220248.998778,0.0,220248.998778
2024-02-01,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-01,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-01,tier_4_observed_baseline,1,1,14576.0,14576.0,0.0,14576.0
2024-02-02,tier_1_top_1pct,7,1,524275.84009899996,524275.84009899996,0.0,524275.84009899996
2024-02-02,tier_2_top_5pct,3,3,74768.220672,74768.220672,0.0,74768.220672
2024-02-02,tier_3_top_10pct,1,1,23710.993029,23710.993029,0.0,23710.993029
2024-02-02,tier_4_observed_baseline,1,1,15792.0,15792.0,0.0,15792.0
2024-02-03,tier_1_top_1pct,3,1,72117.04133000001,72117.04133000001,0.0,72117.04133000001
2024-02-03,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-03,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-03,tier_4_observed_baseline,2,2,33083.510256,33083.510256,0.0,33083.510256
2024-02-04,tier_1_top_1pct,16,2,372325.150539,372325.150539,0.0,372325.150539
2024-02-04,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-04,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-04,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-02-05,tier_1_top_1pct,3,1,133536.23047,133536.23047,0.0,133536.23047
2024-02-05,tier_2_top_5pct,4,2,88461.690954,88461.690954,0.0,88461.690954
2024-02-05,tier_3_top_10pct,0,0,0.0,0.0,0.0,0.0
2024-02-05,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-02-06,tier_1_top_1pct,2,1,49620.0,49620.0,0.0,49620.0
2024-02-06,tier_2_top_5pct,2,2,59054.4228,59054.4228,0.0,59054.4228
2024-02-06,tier_3_top_10pct,2,1,26422.309799,26422.309799,0.0,26422.309799
2024-02-06,tier_4_observed_baseline,0,0,0.0,0.0,0.0,0.0
2024-02-07,tier_1_top_1pct,5,2,139322.487559,139322.487559,0.0,139322.487559
2024-02-07,tier_2_top_5pct,0,0,0.0,0.0,0.0,0.0
2024-02-07,tier_3_top_10pct,1,1,13917.789,13917.789,0.0,13917.789
