observed_at_utc,poll_id,poll_published_at_utc,window_start_utc,window_end_utc,token_id,yes_probability,source_name,source_url
2026-04-29T13:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.39,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T14:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.42,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T15:00:15Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.4,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T16:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.48,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T17:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.445,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T18:00:09Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.36,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T19:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.355,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T20:00:07Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T21:00:21Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.355,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T22:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.37,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-29T23:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T00:00:15Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T01:00:21Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T02:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T03:00:08Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T04:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T05:00:06Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T06:00:09Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T07:00:09Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T08:00:05Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
2026-04-30T09:00:15Z,tamedia_leewas_2026_w1,2026-04-29T00:00:00Z,2026-04-28T00:00:00Z,2026-05-01T00:00:00Z,110415947867502851823417163135703780640916104008376308987909133787379806125789,0.375,polymarket_clob_prices_history,https://clob.polymarket.com/prices-history
