state,horizon_bin,horizon_label,row_count,polymarket_lower_loss_count,poll_derived_lower_loss_count,tie_count,polymarket_better_share,mean_polymarket_brier,mean_poll_derived_brier,mean_loss_advantage
North Carolina,151_180_days,151-180 days,30,0,30,0,0.0,0.06312916666666663,0.008474040400764207,-0.054655126265902416
North Carolina,181_plus_days,181+ days,62,0,62,0,0.0,0.09635766129032257,0.011138840742025861,-0.08521882054829671
North Carolina,61_90_days,61-90 days,25,25,0,0,1.0,0.156183,0.22416265759622955,0.06797965759622956
North Carolina,91_120_days,91-120 days,14,0,14,0,0.0,0.04785357142857135,0.00887524605615685,-0.038978325372414496
Ohio,0_60_days,0-60 days,4,0,4,0,0.0,0.0070312499999999,0.00095339631937115,-0.006077853680628751
Ohio,151_180_days,151-180 days,2,0,2,0,0.0,0.0110249999999999,0.0006048591976411,-0.010420140802358799
Ohio,181_plus_days,181+ days,27,0,27,0,0.0,0.01090555555555545,0.00022681466271278565,-0.010678740892842663
Pennsylvania,0_60_days,0-60 days,7,7,0,0,1.0,0.20978928571428562,0.3171325902970151,0.1073433045827295
Pennsylvania,121_150_days,121-150 days,30,0,30,0,0.0,0.24305249999999998,0.14964086903842672,-0.09341163096157326
Pennsylvania,151_180_days,151-180 days,30,0,30,0,0.0,0.26982999999999996,0.12169709266121362,-0.14813290733878634
Pennsylvania,181_plus_days,181+ days,63,0,63,0,0.0,0.2971876984126985,0.12113573632014,-0.17605196209255847
Pennsylvania,61_90_days,61-90 days,30,30,0,0,1.0,0.26849249999999997,0.38144250368902183,0.11295000368902186
Pennsylvania,91_120_days,91-120 days,22,2,20,0,0.09090909090909091,0.2157988636363636,0.14623265499691618,-0.06956620863944743
Texas,0_60_days,0-60 days,7,3,4,0,0.42857142857142855,0.017735714285714275,0.018628405336075186,0.0008926910503609109
Texas,121_150_days,121-150 days,12,0,12,0,0.0,0.011024999999999898,0.0017933601970428663,-0.00923163980295703
Texas,151_180_days,151-180 days,22,0,22,0,0.0,0.011373863636363534,0.00022921311475946712,-0.011144650521604068
Texas,181_plus_days,181+ days,51,0,51,0,0.0,0.014176470588235252,0.0007400379614434096,-0.013436432626791842
Texas,61_90_days,61-90 days,6,0,6,0,0.0,0.0186125,0.010461928460705249,-0.008150571539294752
Texas,91_120_days,91-120 days,10,0,10,0,0.0,0.009824999999999898,0.0014552601616135198,-0.008369739838386379
Virginia,91_120_days,91-120 days,11,7,4,0,0.6363636363636364,0.12137727272727274,0.11056290524991243,-0.01081436747736031
Wisconsin,0_60_days,0-60 days,7,7,0,0,1.0,0.32419642857142844,0.5242681845788438,0.2000717560074154
Wisconsin,121_150_days,121-150 days,30,8,22,0,0.26666666666666666,0.25908499999999984,0.21571883935515387,-0.04336616064484597
Wisconsin,151_180_days,151-180 days,30,0,30,0,0.0,0.3069249999999999,0.151360089417785,-0.1555649105822149
Wisconsin,181_plus_days,181+ days,62,2,60,0,0.03225806451612903,0.26857903225806445,0.1282342273381706,-0.14034480491989385
Wisconsin,61_90_days,61-90 days,30,30,0,0,1.0,0.3209183333333332,0.5558795241152008,0.2349611907818676
Wisconsin,91_120_days,91-120 days,20,10,10,0,0.5,0.18806124999999993,0.2102181042468124,0.022156854246812463
