timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,baseline_window,baseline_observations,rolling_median,rolling_mad,robust_z,rolling_percentile_rank,severity,status,event_candidate_id,event_review_status,evidence_refs,limitation,review_status,claim_scope
2024-03-09T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.5895052678609601,last_30_completed_observations,30,0.6604154848353057,0.1476023102269297,-0.3240348069630031,0.4,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-10T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.9214017955955952,last_30_completed_observations,30,0.6604154848353057,0.1476023102269297,1.1926158519271306,0.9,info,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-11T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.181448196426035,last_30_completed_observations,30,0.6604154848353057,0.15587164127645148,-2.072596448449799,0.0,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-12T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.8953183061674058,last_30_completed_observations,30,0.6604154848353057,0.16344703425504692,0.9693646818714968,0.8333333333333334,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-13T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6278797730824373,last_30_completed_observations,30,0.6996348195836115,0.17149649360515323,-0.2822105268361075,0.43333333333333335,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-14T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.6148052421605628,last_30_completed_observations,30,0.6604154848353057,0.16344703425504692,-0.18821808154435343,0.43333333333333335,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-15T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.781293315294299,last_30_completed_observations,30,0.6326438873651652,0.14666533028973083,0.6836153120960383,0.7,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-16T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,1.0,last_30_completed_observations,30,0.6556513705525777,0.14666533028973083,1.5836051242778186,1.0,info,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-17T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.4016971572470498,last_30_completed_observations,30,0.6996348195836115,0.15128416444876935,-1.328335988623055,0.1,none,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
2024-03-18T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,1.0,last_30_completed_observations,30,0.6996348195836115,0.17149649360515323,1.1813275851914373,1.0,info,ok,,,data/results/h3_tiered_wallet_activity_daily.csv,aggregate tier concentration replay; no wallet performance claim,candidate,descriptive_monitor_alert_only
