window_label,event_id,event_date,date,relative_day,tier,activity_date_available,has_activity,trade_rows,active_wallets,total_amount_usd,buy_amount_usd,sell_amount_usd,net_amount_usd
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-28,-2,tier_4_observed_baseline,True,True,4,4,76072.94777,76072.94777,0.0,76072.94777
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-29,-1,tier_1_top_1pct,True,True,5,2,166128.560971,166128.560971,0.0,166128.560971
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-29,-1,tier_2_top_5pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-29,-1,tier_3_top_10pct,True,False,0,0,0.0,0.0,0.0,0.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-29,-1,tier_4_observed_baseline,True,True,6,6,114937.160222,114937.160222,0.0,114937.160222
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,tier_1_top_1pct,True,True,8,1,125465.309121,125465.309121,0.0,125465.309121
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,tier_2_top_5pct,True,True,1,1,45364.76982,45364.76982,0.0,45364.76982
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,tier_3_top_10pct,True,True,1,1,19940.0,19940.0,0.0,19940.0
lead_minus_14d_to_0d,evt_2024_05_30_trump_conviction,2024-05-30,2024-05-30,0,tier_4_observed_baseline,True,True,2,2,35676.976200000005,35676.976200000005,0.0,35676.976200000005
lead_minus_14d_to_0d,evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-14,-14,tier_1_top_1pct,True,True,15,3,318628.509568,318628.509568,0.0,318628.509568
