event_id,event_date,proximity_date,relative_day,timestamp_utc,market_id,tier,anomaly_family,metric_name,observed_value,robust_z,rolling_percentile_rank,severity,status,same_day_context,proximity_window,market_watch_at_timestamp,wallet_or_concentration_watch_at_timestamp,proximity_critical_candidate,event_watch_candidate,suggested_context_label,claim_scope
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,11.747650124238106,-0.2148033688847745,0.3,none,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_2_top_5pct,wallet_tier_activity,log1p_total_observed_amount_usd,0.0,-5.734515937143003,0.3666666666666666,none,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_3_top_10pct,wallet_tier_activity,log1p_total_observed_amount_usd,10.561179898114029,,0.8666666666666667,none,zero_mad,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_05_30_trump_conviction,2024-05-30,2024-05-31,1,2024-05-31T00:00:00Z,polymarket_2024_us_presidential_replay,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,9.591571675125657,-0.5979473289464371,0.3,none,ok,False,"[-1d,+1d]",True,False,False,False,context_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_1_top_1pct,active_wallet_activity,active_wallets,2.0,0.0,0.7666666666666667,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_2_top_5pct,active_wallet_activity,active_wallets,0.0,-0.6744907594765952,0.3333333333333333,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_3_top_10pct,active_wallet_activity,active_wallets,1.0,0.0,0.8666666666666667,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_4_observed_baseline,active_wallet_activity,active_wallets,7.0,0.8093889113719143,0.8333333333333334,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,all_tiers,concentration,tier_1_total_amount_share,0.7981797950716747,0.3998709397426896,0.6666666666666666,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,market,market_move,absolute_price_change,0.0,,0.5666666666666667,none,zero_mad,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_1_top_1pct,wallet_tier_activity,log1p_total_observed_amount_usd,13.43268159939556,1.2048027323474724,0.8666666666666667,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_2_top_5pct,wallet_tier_activity,log1p_total_observed_amount_usd,0.0,-6.6086958754952505,0.3333333333333333,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_3_top_10pct,wallet_tier_activity,log1p_total_observed_amount_usd,9.505634881913148,0.045476918778552,0.5666666666666667,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-27,-1,2024-06-27T00:00:00Z,polymarket_2024_us_presidential_replay,tier_4_observed_baseline,wallet_tier_activity,log1p_total_observed_amount_usd,11.976614118456514,0.9817529211756912,0.8666666666666667,none,ok,False,"[-1d,+1d]",False,False,False,False,no_event_alert,event_proximity_sensitivity_only
evt_2024_06_28_biden_trump_debate,2024-06-28,2024-06-28,0,2024-06-28T00:00:00Z,polymarket_2024_us_presidential_replay,tier_1_top_1pct,active_wallet_activity,active_wallets,4.0,2.697963037906381,1.0,watch,ok,True,"[-1d,+1d]",False,True,False,True,event_watch_candidate,event_proximity_sensitivity_only
